序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
244,新北市,2015/01/29,新莊,3.1,0.49,24.3,25.0,10,24,4.7,19.37,3.13,17.73,80.39
245,新北市,2015/01/29,新店,2.2,0.44,23.2,20.0,12,22,5.59,16.72,1.23,18.56,78.42
246,新北市,2015/01/29,淡水,1.0,0.32,27.6,14.0,5,13,3.68,9.54,-,-,-
247,新北市,2015/01/29,汐止,3.9,0.44,18.6,27.0,12,36,13.75,22.05,1.53,17.56,88.95
248,新北市,2015/01/29,土城,1.9,0.5,24.7,26.0,14,22,3.08,19.32,1.52,18.36,77.82
249,新北市,2015/01/29,林口,2.6,0.27,31.4,24.0,13,15,2.27,12.46,2.08,16.77,86.43
250,新北市,2015/01/29,萬里,0.6,0.19,35.7,39.0,8,8,1.15,6.4,2.27,17.65,89.86
251,新北市,2015/01/28,板橋,2.2,0.52,25.2,28.0,14,25,4.7,20.3,2.71,15.29,82.62
252,新北市,2015/01/28,三重,2.4,1.33,-,45.0,6,72,42.25,30.07,-,15.77,76.48
253,新北市,2015/01/28,菜寮,2.0,0.46,25.0,23.0,13,17,2.54,14.64,3.04,15.57,77.63
254,新北市,2015/01/28,永和,2.1,0.58,29.2,25.0,12,23,7.22,15.72,2.74,15.44,88.6
255,新北市,2015/01/28,新莊,1.8,0.5,26.6,26.0,13,19,2.19,16.88,3.95,14.91,83.45
256,新北市,2015/01/28,新店,2.3,0.46,29.5,20.0,15,18,3.17,14.96,1.53,15.49,81.08
257,新北市,2015/01/28,淡水,0.5,0.28,37.3,15.0,7,5,1.97,3.41,-,-,-
258,新北市,2015/01/28,汐止,2.4,0.36,25.1,27.0,15,22,3.19,18.9,2.01,14.56,92.43
259,新北市,2015/01/28,土城,1.9,0.48,29.5,26.0,16,16,1.33,14.9,1.74,15.18,81.07
260,新北市,2015/01/28,林口,1.6,0.36,31.1,24.0,15,14,2.11,12.34,2.73,13.85,87.81
261,新北市,2015/01/28,萬里,1.8,0.22,43.5,67.0,15,6,1.61,4.16,7.28,16.11,84.82
262,新北市,2015/01/27,板橋,2.2,0.66,29.9,47.0,28,29,3.55,25.35,2.07,17.48,85.94
263,新北市,2015/01/27,三重,2.6,1.88,-,51.0,23,102,59.08,42.93,-,17.64,81.8
264,新北市,2015/01/27,菜寮,1.7,0.65,26.1,37.0,27,25,2.9,21.69,2.23,17.46,82.61
265,新北市,2015/01/27,永和,2.3,0.81,32.9,40.0,28,29,7.73,20.85,2.22,17.63,91.24
266,新北市,2015/01/27,新莊,2.1,0.68,30.5,39.0,27,26,2.92,23.07,2.75,16.63,89.78
267,新北市,2015/01/27,新店,2.1,0.56,35.7,36.0,29,19,1.74,17.24,1.26,17.45,85.61
268,新北市,2015/01/27,淡水,1.4,0.43,43.5,37.0,20,-,-,-,-,-,-
269,新北市,2015/01/27,汐止,3.0,0.47,39.1,45.0,30,17,2.01,14.95,2.12,16.95,91.82
270,新北市,2015/01/27,土城,1.7,0.6,37.3,42.0,33,19,1.91,17.37,1.31,17.26,85.63
271,新北市,2015/01/27,林口,1.1,0.47,41.7,40.0,28,15,2.21,13.08,1.89,15.4,94.32
272,新北市,2015/01/27,萬里,1.0,0.39,53.2,84.0,31,6,1.39,4.55,5.9,17.67,89.35
273,新北市,2015/01/26,板橋,5.2,0.78,13.4,64.0,37,46,10.97,35.08,1.48,18.93,78.13
274,新北市,2015/01/26,三重,5.1,1.79,-,67.0,20,130,86.18,43.98,-,19.03,73.51
275,新北市,2015/01/26,菜寮,3.5,0.71,13.3,52.0,34,44,12.27,32.01,1.17,18.76,75.49
276,新北市,2015/01/26,永和,3.6,1.16,15.0,53.0,30,60,28.22,31.78,1.16,19.38,81.0
277,新北市,2015/01/26,新莊,4.3,0.77,10.5,60.0,37,54,16.7,37.7,1.5,17.91,81.23
278,新北市,2015/01/26,新店,3.6,0.57,18.7,41.0,29,30,6.22,23.68,1.1,19.1,74.94
279,新北市,2015/01/26,淡水,1.9,0.45,22.7,47.0,21,22,4.65,17.56,-,-,-
280,新北市,2015/01/26,汐止,7.9,0.65,10.9,50.0,29,55,24.75,30.26,1.17,18.28,83.24
281,新北市,2015/01/26,土城,4.2,0.72,17.4,57.0,39,38,9.64,28.54,1.05,18.86,77.71
282,新北市,2015/01/26,林口,3.4,0.35,30.9,47.0,32,21,2.54,18.46,1.09,16.98,82.57
283,新北市,2015/01/26,萬里,2.9,0.31,31.3,39.0,22,13,2.2,10.34,2.27,18.08,82.97
284,新北市,2015/01/25,板橋,5.7,0.92,18.0,74.0,39,47,10.69,36.31,1.56,19.44,64.92
285,新北市,2015/01/25,三重,5.8,1.98,-,81.0,34,150,100.78,48.9,-,19.43,63.81
286,新北市,2015/01/25,菜寮,3.9,0.89,16.2,64.0,39,55,21.81,33.2,1.37,18.96,65.63
287,新北市,2015/01/25,永和,4.4,1.5,11.2,64.0,37,79,35.66,43.44,1.04,19.89,68.5
288,新北市,2015/01/25,新莊,5.5,1.07,14.1,74.0,44,61,21.16,40.04,1.7,18.1,66.95
289,新北市,2015/01/25,新店,3.3,0.57,28.3,47.0,32,28,4.63,23.28,1.02,19.95,59.12
290,新北市,2015/01/25,淡水,2.6,0.4,29.6,55.0,25,21,2.69,17.93,-,-,-
291,新北市,2015/01/25,汐止,5.2,0.63,17.1,50.0,28,45,17.47,27.96,1.06,18.88,68.11
292,新北市,2015/01/25,土城,4.8,0.92,15.6,72.0,46,52,15.96,35.62,1.06,18.42,69.84
293,新北市,2015/01/25,林口,3.3,0.39,34.1,59.0,38,21,2.37,18.59,1.42,17.46,73.79
294,新北市,2015/01/25,萬里,2.9,0.28,34.8,39.0,21,12,2.46,9.58,2.45,18.42,71.86
295,新北市,2015/01/24,板橋,4.4,0.9,30.2,75.0,43,40,8.74,31.21,1.59,18.07,55.17
296,新北市,2015/01/24,三重,5.7,2.26,-,88.0,38,179,122.42,56.57,-,18.02,56.57
297,新北市,2015/01/24,菜寮,4.0,1.13,17.2,74.0,46,75,32.98,41.6,1.47,17.68,56.38
298,新北市,2015/01/24,永和,3.8,1.32,19.8,66.0,42,61,21.46,39.18,1.29,18.25,63.01
299,新北市,2015/01/24,新莊,3.9,1.27,23.4,77.0,49,61,23.22,38.11,1.69,16.89,61.57
300,新北市,2015/01/24,新店,2.2,0.64,34.3,60.0,41,28,4.74,23.25,1.65,18.01,56.66
301,新北市,2015/01/24,淡水,3.4,0.66,28.5,69.0,38,30,3.14,26.69,-,-,-
302,新北市,2015/01/24,汐止,4.2,0.69,20.6,62.0,36,48,18.22,29.87,1.28,16.8,66.42
303,新北市,2015/01/24,土城,3.7,0.88,23.2,78.0,47,61,28.05,33.36,1.12,15.98,64.9
304,新北市,2015/01/24,林口,3.1,0.61,36.6,75.0,48,31,3.57,27.15,1.64,16.0,66.3
305,新北市,2015/01/24,萬里,1.9,0.35,42.0,47.0,30,8,1.08,7.01,3.7,16.54,68.38
306,新北市,2015/01/23,板橋,4.3,0.78,30.0,72.0,40,34,5.65,28.75,1.96,15.39,52.81
307,新北市,2015/01/23,三重,5.9,1.88,-,93.0,37,130,79.68,49.97,-,15.88,55.0
308,新北市,2015/01/23,菜寮,4.2,0.74,26.7,70.0,41,31,3.63,27.07,2.41,15.43,55.38
309,新北市,2015/01/23,永和,2.8,0.92,30.4,65.0,41,37,11.24,26.04,1.92,15.54,62.18
310,新北市,2015/01/23,新莊,3.6,0.79,31.2,73.0,44,33,5.86,26.78,2.72,15.12,58.12
311,新北市,2015/01/23,新店,3.0,0.67,36.0,64.0,44,24,3.89,19.62,1.78,15.2,57.06
312,新北市,2015/01/23,淡水,4.3,0.55,35.7,66.0,33,18,3.04,14.85,-,-,-
313,新北市,2015/01/23,汐止,7.1,0.62,24.1,65.0,39,40,11.75,27.81,1.67,14.04,66.79
314,新北市,2015/01/23,土城,4.2,0.6,42.5,69.0,41,19,2.17,17.01,1.47,15.91,52.16
315,新北市,2015/01/23,林口,5.1,0.55,42.8,72.0,47,19,2.4,16.66,2.45,13.37,66.14
316,新北市,2015/01/23,萬里,2.5,0.42,43.1,63.0,36,8,1.23,6.83,4.2,12.9,75.25
317,新北市,2015/01/22,板橋,5.7,0.93,26.9,105.0,52,45,12.98,31.94,1.77,15.05,60.24
318,新北市,2015/01/22,三重,5.9,1.96,-,113.0,47,141,87.84,52.87,-,15.51,58.87
319,新北市,2015/01/22,菜寮,5.2,0.86,25.6,92.0,50,45,13.58,31.59,1.5,15.14,60.0
320,新北市,2015/01/22,永和,3.9,1.07,31.5,87.0,48,46,16.9,29.52,1.38,15.31,65.84
321,新北市,2015/01/22,新莊,5.3,1.25,22.5,106.0,59,60,21.03,38.63,1.77,14.57,67.51
322,新北市,2015/01/22,新店,3.7,0.61,40.3,82.0,49,21,3.34,17.71,1.57,14.83,61.72
323,新北市,2015/01/22,淡水,-,-,-,-,-,-,-,-,-,-,-
324,新北市,2015/01/22,汐止,4.1,0.75,16.6,88.0,44,-,-,-,1.4,13.56,74.74
325,新北市,2015/01/22,土城,5.1,0.87,32.7,102.0,53,49,21.77,26.75,1.17,14.39,66.2
326,新北市,2015/01/22,林口,4.4,0.6,45.9,100.0,54,24,1.69,22.04,1.21,13.58,67.35
327,新北市,2015/01/22,萬里,4.5,0.43,50.7,103.0,44,9,1.31,7.26,4.43,13.8,70.91
328,新北市,2015/01/21,板橋,3.3,0.74,21.7,74.0,35,36,7.81,28.53,2.01,17.57,73.27
329,新北市,2015/01/21,三重,3.5,1.82,-,89.0,32,124,77.67,46.01,-,18.08,71.21
330,新北市,2015/01/21,菜寮,2.9,0.74,19.7,68.0,36,38,9.72,28.21,1.84,17.55,73.98
331,新北市,2015/01/21,永和,2.8,1.3,17.7,67.0,32,59,26.36,32.93,1.23,18.21,78.45
332,新北市,2015/01/21,新莊,2.8,0.76,18.9,69.0,35,42,9.72,31.83,2.13,17.16,80.78
333,新北市,2015/01/21,新店,1.8,0.53,28.4,59.0,33,22,3.54,18.94,1.55,17.7,74.33
334,新北市,2015/01/21,淡水,-,-,-,-,-,-,-,-,-,-,-
335,新北市,2015/01/21,汐止,2.5,0.62,17.0,62.0,32,43,15.84,27.41,1.1,16.93,83.92
336,新北市,2015/01/21,土城,2.1,0.63,22.4,71.0,37,32,7.48,24.08,1.54,16.9,78.38
337,新北市,2015/01/21,林口,2.7,0.42,35.0,72.0,37,21,1.5,19.3,1.12,15.34,86.34
338,新北市,2015/01/21,萬里,1.1,0.29,41.3,57.0,23,6,1.03,5.29,3.35,17.15,84.39
339,新北市,2015/01/20,板橋,2.3,0.68,32.2,74.0,33,28,3.72,24.06,2.3,18.55,58.48
340,新北市,2015/01/20,三重,4.0,1.7,-,96.0,31,101,57.32,43.43,-,18.88,58.42
341,新北市,2015/01/20,菜寮,2.4,0.6,32.8,76.0,34,22,1.87,19.89,3.01,18.48,59.09
342,新北市,2015/01/20,永和,1.9,0.73,37.4,67.0,31,28,8.24,19.36,2.62,18.85,65.28
343,新北市,2015/01/20,新莊,2.4,0.61,36.6,72.0,34,23,2.27,20.67,3.74,18.59,60.72
344,新北市,2015/01/20,新店,2.2,0.54,41.1,66.0,34,18,2.64,15.42,1.99,18.61,60.61
345,新北市,2015/01/20,淡水,2.1,0.35,45.4,66.0,26,7,1.16,5.51,-,-,-
346,新北市,2015/01/20,汐止,4.4,0.51,31.5,76.0,32,29,5.02,23.7,1.81,17.94,68.1
347,新北市,2015/01/20,土城,2.9,0.61,38.4,71.0,36,20,2.43,17.59,1.68,18.69,60.55
348,新北市,2015/01/20,林口,2.9,0.42,42.8,75.0,35,17,1.78,15.1,3.2,16.53,69.78
349,新北市,2015/01/20,萬里,3.4,0.35,46.8,83.0,31,10,1.48,8.13,3.17,17.67,70.94
350,新北市,2015/01/19,板橋,4.0,0.52,39.4,76.0,35,19,2.01,17.14,3.29,16.08,54.38
351,新北市,2015/01/19,三重,4.6,1.47,-,92.0,32,109,64.15,44.52,-,16.54,53.42
352,新北市,2015/01/19,菜寮,2.8,0.48,38.3,71.0,33,17,2.32,14.8,3.63,16.16,53.53
353,新北市,2015/01/19,永和,2.8,0.54,44.1,68.0,33,19,4.36,14.31,3.22,16.36,60.92
354,新北市,2015/01/19,新莊,4.0,0.46,44.6,85.0,35,16,1.91,13.95,5.44,16.17,55.85
355,新北市,2015/01/19,新店,2.5,0.44,48.3,66.0,35,11,1.28,9.87,2.61,16.23,55.79
356,新北市,2015/01/19,淡水,2.7,0.36,47.7,74.0,28,7,0.66,6.03,-,-,-
357,新北市,2015/01/19,汐止,4.1,0.44,40.8,74.0,32,20,1.89,17.64,2.29,15.93,61.36
358,新北市,2015/01/19,土城,3.3,0.45,46.2,71.0,35,13,1.64,11.6,2.13,16.22,56.38
359,新北市,2015/01/19,林口,2.8,0.34,51.1,75.0,37,9,1.45,7.94,4.47,14.13,64.24
360,新北市,2015/01/19,萬里,3.1,0.32,55.9,92.0,32,9,2.4,6.31,8.39,16.49,61.72
361,新北市,2015/01/18,板橋,1.9,0.45,31.1,41.0,21,17,3.26,13.26,2.54,16.92,60.3
362,新北市,2015/01/18,三重,2.7,1.51,-,55.0,16,91,57.19,33.62,-,17.4,58.81
363,新北市,2015/01/18,菜寮,1.4,0.42,29.8,38.0,19,15,2.28,12.41,2.98,16.93,59.54
364,新北市,2015/01/18,永和,2.2,0.5,32.9,36.0,19,19,5.93,13.19,2.53,17.25,66.36
365,新北市,2015/01/18,新莊,1.6,0.41,35.3,38.0,17,13,1.98,10.72,3.81,17.07,60.86
366,新北市,2015/01/18,新店,2.1,0.41,36.6,38.0,23,12,2.59,9.9,2.09,17.11,61.45
367,新北市,2015/01/18,淡水,2.1,0.31,37.0,38.0,13,5,1.27,3.84,-,-,-
368,新北市,2015/01/18,汐止,5.0,0.37,31.1,37.0,19,17,2.36,14.16,1.93,16.65,68.32
369,新北市,2015/01/18,土城,2.2,0.42,35.3,41.0,25,12,1.67,10.69,1.75,17.05,61.56
370,新北市,2015/01/18,林口,2.3,0.31,37.5,39.0,21,9,1.55,7.71,2.65,14.68,72.4
371,新北市,2015/01/18,萬里,1.6,0.25,41.8,72.0,17,10,3.02,6.8,4.56,16.89,68.03
372,新北市,2015/01/17,板橋,4.7,0.64,33.2,99.0,57,21,3.64,17.27,3.12,15.54,55.28
373,新北市,2015/01/17,三重,5.3,1.7,-,123.0,56,114,72.29,41.47,-,15.85,54.95
374,新北市,2015/01/17,菜寮,3.9,0.59,31.9,94.0,57,18,2.03,15.98,3.14,15.41,55.12
375,新北市,2015/01/17,永和,3.9,0.67,36.1,90.0,57,21,5.33,15.52,2.91,15.83,61.55
376,新北市,2015/01/17,新莊,5.0,0.59,38.4,95.0,61,16,1.99,13.51,5.49,15.56,56.7
377,新北市,2015/01/17,新店,4.1,0.56,39.9,89.0,58,14,1.91,12.35,2.05,15.56,57.33
378,新北市,2015/01/17,淡水,3.6,0.47,40.9,97.0,52,8,0.88,6.89,-,-,-
379,新北市,2015/01/17,汐止,3.9,0.54,38.5,93.0,54,16,1.68,14.3,2.2,15.4,61.91
380,新北市,2015/01/17,土城,4.0,0.56,38.7,94.0,57,14,1.53,12.37,1.77,15.37,57.13
381,新北市,2015/01/17,林口,3.9,0.45,42.1,96.0,61,10,1.23,9.17,3.72,13.3,66.82
382,新北市,2015/01/17,萬里,3.3,0.43,46.2,121.0,55,11,3.28,7.75,8.28,15.75,63.47
383,新北市,2015/01/16,板橋,2.6,0.51,28.0,39.0,18,23,4.98,18.49,2.49,17.58,64.29
384,新北市,2015/01/16,三重,4.2,1.78,-,58.0,19,113,71.45,41.1,-,17.86,63.78
385,新北市,2015/01/16,菜寮,2.4,0.52,25.9,38.0,18,23,3.84,18.8,2.35,17.49,64.57
386,新北市,2015/01/16,永和,2.5,0.81,28.7,36.0,15,38,17.94,20.43,2.28,17.95,70.19
387,新北市,2015/01/16,新莊,2.5,0.65,27.6,40.0,19,28,6.75,20.86,2.9,17.41,67.22
388,新北市,2015/01/16,新店,2.2,0.47,29.7,32.0,20,21,4.58,16.71,1.38,17.37,67.82
389,新北市,2015/01/16,淡水,1.6,0.34,32.5,40.0,12,12,3.42,8.7,-,-,-
390,新北市,2015/01/16,汐止,4.8,0.34,29.0,35.0,16,25,7.96,17.31,2.16,17.03,73.9
391,新北市,2015/01/16,土城,1.9,0.43,32.2,37.0,21,18,3.21,14.98,1.5,17.42,66.12
392,新北市,2015/01/16,林口,2.5,0.29,36.3,41.0,22,15,2.44,12.14,2.06,15.24,78.01
393,新北市,2015/01/16,萬里,1.7,0.21,45.0,79.0,18,11,3.26,8.18,4.49,17.55,71.54
394,新北市,2015/01/15,板橋,1.7,0.5,21.4,36.0,16,24,5.79,18.61,2.37,16.25,63.3
395,新北市,2015/01/15,三重,3.8,1.76,-,57.0,12,122,84.1,38.38,-,16.46,63.08
396,新北市,2015/01/15,菜寮,1.7,0.49,20.2,33.0,14,23,3.11,19.85,2.61,16.12,63.57
397,新北市,2015/01/15,永和,0.9,0.61,25.0,32.0,11,25,8.6,16.81,2.09,16.55,69.6
398,新北市,2015/01/15,新莊,1.7,0.48,21.8,32.0,14,22,2.72,19.43,3.79,15.97,66.39
399,新北市,2015/01/15,新店,2.4,0.46,26.1,30.0,17,20,3.71,16.01,1.54,16.31,65.15
400,新北市,2015/01/15,淡水,1.8,0.38,26.6,35.0,9,14,3.02,10.7,-,-,-
401,新北市,2015/01/15,汐止,2.6,0.39,20.2,32.0,14,25,3.66,21.29,1.42,16.08,71.2
402,新北市,2015/01/15,土城,2.1,0.44,24.6,33.0,17,18,2.44,16.0,1.41,15.99,65.25
403,新北市,2015/01/15,林口,1.8,0.3,29.3,33.0,17,13,1.13,11.99,2.68,13.8,77.2
404,新北市,2015/01/15,萬里,2.0,0.23,38.1,77.0,15,10,3.03,6.53,6.21,16.66,70.15
405,新北市,2015/01/14,板橋,3.1,0.48,19.6,28.0,13,23,3.42,19.79,2.19,16.31,76.78
406,新北市,2015/01/14,三重,3.2,1.55,-,47.0,9,113,74.11,39.15,-,16.53,74.9
407,新北市,2015/01/14,菜寮,2.1,0.43,23.9,23.0,11,21,3.08,18.03,2.23,16.19,75.87
408,新北市,2015/01/14,永和,3.0,0.89,18.8,26.0,11,44,18.19,25.87,1.75,16.67,83.34
409,新北市,2015/01/14,新莊,2.5,0.48,26.2,21.0,8,22,3.71,18.67,2.69,16.04,82.69
410,新北市,2015/01/14,新店,3.3,0.47,26.6,19.0,14,24,3.23,20.78,1.59,15.95,75.96
411,新北市,2015/01/14,淡水,1.5,0.29,32.5,26.0,4,11,1.88,9.15,-,-,-
412,新北市,2015/01/14,汐止,1.3,0.37,26.4,22.0,11,20,2.6,17.06,1.95,16.48,82.23
413,新北市,2015/01/14,土城,2.2,0.43,22.9,26.0,14,22,3.07,19.16,1.37,15.9,79.77
414,新北市,2015/01/14,林口,1.4,0.27,35.3,23.0,12,13,2.06,10.58,1.86,14.18,88.31
415,新北市,2015/01/14,萬里,2.2,0.23,41.7,36.0,8,6,0.96,4.69,4.8,16.43,80.04
416,新北市,2015/01/13,板橋,2.2,0.45,34.9,33.0,15,18,2.97,15.01,2.71,20.45,64.54
417,新北市,2015/01/13,三重,2.6,1.39,-,48.0,10,83,50.62,32.78,-,20.48,65.17
418,新北市,2015/01/13,菜寮,1.8,0.45,31.8,30.0,12,17,2.96,14.02,4.02,20.35,65.29
419,新北市,2015/01/13,永和,2.0,0.6,35.6,27.0,12,23,6.77,16.1,2.92,20.77,70.4
420,新北市,2015/01/13,新莊,1.6,0.42,36.9,25.0,12,16,1.97,14.08,4.15,19.95,67.5
421,新北市,2015/01/13,新店,1.4,0.32,44.7,27.0,14,10,1.29,8.87,3.4,20.6,64.45
422,新北市,2015/01/13,淡水,1.7,0.22,40.1,34.0,7,5,0.51,4.49,-,-,-
423,新北市,2015/01/13,汐止,0.9,0.27,40.6,23.0,10,12,1.65,9.95,2.45,20.44,70.92
424,新北市,2015/01/13,土城,1.8,0.36,40.0,32.0,18,14,1.12,13.19,2.26,20.6,64.19
425,新北市,2015/01/13,林口,1.7,0.29,40.5,29.0,16,13,1.62,11.25,3.9,18.48,75.18
426,新北市,2015/01/13,萬里,3.8,0.2,44.1,29.0,11,8,1.18,6.59,3.02,19.97,72.31
427,新北市,2015/01/12,板橋,2.9,0.53,38.5,52.0,24,22,2.78,19.31,2.44,17.21,65.15
428,新北市,2015/01/12,三重,3.4,1.12,-,72.0,19,75,38.44,36.25,-,17.5,62.31
429,新北市,2015/01/12,菜寮,2.5,0.44,39.0,50.0,23,17,1.54,15.28,4.31,17.35,62.77
430,新北市,2015/01/12,永和,1.9,0.49,46.4,43.0,21,17,3.03,13.69,3.13,17.43,71.1
431,新北市,2015/01/12,新莊,2.6,0.44,44.5,48.0,24,17,1.42,15.66,4.99,16.93,65.94
432,新北市,2015/01/12,新店,2.9,0.43,47.7,40.0,26,15,1.91,12.63,2.72,17.23,67.51
433,新北市,2015/01/12,淡水,3.3,0.26,52.2,47.0,18,5,1.01,3.7,-,-,-
434,新北市,2015/01/12,汐止,3.6,0.35,41.4,51.0,24,21,1.92,18.98,2.27,16.99,71.05
435,新北市,2015/01/12,土城,2.3,0.45,47.3,46.0,23,14,1.28,12.91,1.83,17.28,66.99
436,新北市,2015/01/12,林口,3.4,0.34,47.0,53.0,26,16,2.2,13.84,4.61,15.59,71.52
437,新北市,2015/01/12,萬里,2.4,0.23,58.9,73.0,21,5,1.36,3.99,6.57,17.88,69.07
438,新北市,2015/01/11,板橋,3.7,0.51,41.2,61.0,30,18,2.67,15.4,1.78,17.4,58.89
439,新北市,2015/01/11,三重,3.5,1.19,-,79.0,27,68,31.32,36.77,-,17.77,56.28
440,新北市,2015/01/11,菜寮,3.9,0.5,40.1,63.0,30,17,1.94,14.77,3.49,17.58,56.06
441,新北市,2015/01/11,永和,3.4,0.43,48.9,54.0,28,11,1.86,9.27,2.77,17.51,65.4
442,新北市,2015/01/11,新莊,3.7,0.43,47.2,59.0,31,14,1.17,12.69,3.76,17.07,58.93
443,新北市,2015/01/11,新店,3.1,0.41,50.0,55.0,32,10,1.08,8.61,2.61,17.36,60.96
444,新北市,2015/01/11,淡水,3.7,0.33,50.8,61.0,24,7,1.17,5.82,-,-,-
445,新北市,2015/01/11,汐止,5.4,0.43,44.8,61.0,29,16,1.35,14.5,1.92,17.35,63.59
446,新北市,2015/01/11,土城,2.6,0.42,48.3,56.0,34,11,1.38,9.48,1.5,17.22,61.65
447,新北市,2015/01/11,林口,3.6,0.38,50.7,61.0,33,12,1.42,10.43,4.09,15.59,66.61
448,新北市,2015/01/11,萬里,4.0,0.32,60.6,75.0,28,7,1.72,4.96,5.43,17.92,62.16
449,新北市,2015/01/10,板橋,2.1,0.46,28.3,38.0,17,22,4.06,18.09,1.8,16.95,55.6
450,新北市,2015/01/10,三重,4.2,1.41,-,53.0,11,88,52.54,35.57,-,17.3,55.29
451,新北市,2015/01/10,菜寮,3.6,0.39,30.7,36.0,15,17,1.8,15.37,3.17,16.95,55.52
452,新北市,2015/01/10,永和,2.3,0.47,34.9,33.0,14,19,5.52,13.65,2.35,17.17,61.64
453,新北市,2015/01/10,新莊,3.1,0.41,33.1,35.0,15,17,2.15,15.18,3.6,16.36,57.64
454,新北市,2015/01/10,新店,2.1,0.3,40.6,32.0,18,10,1.42,8.9,2.26,17.03,56.37
455,新北市,2015/01/10,淡水,2.7,0.27,37.4,36.0,12,8,1.48,6.95,-,-,-
456,新北市,2015/01/10,汐止,4.6,0.34,31.5,37.0,16,19,2.36,17.1,1.98,16.64,63.2
457,新北市,2015/01/10,土城,2.3,0.34,38.1,36.0,19,11,1.28,10.12,1.4,16.89,57.09
458,新北市,2015/01/10,林口,3.1,0.27,38.7,38.0,19,12,1.79,10.62,3.22,14.99,65.98
459,新北市,2015/01/10,萬里,2.6,0.19,50.5,51.0,15,5,1.23,3.53,5.56,17.21,62.42
460,新北市,2015/01/09,板橋,2.1,0.53,26.3,47.0,21,24,5.51,18.91,2.62,15.99,55.67
461,新北市,2015/01/09,三重,3.8,1.7,-,67.0,20,116,77.15,38.97,-,16.51,55.79
462,新北市,2015/01/09,菜寮,2.7,0.39,29.9,41.0,19,17,2.2,14.35,3.29,16.25,55.98
463,新北市,2015/01/09,永和,2.6,0.57,30.9,39.0,18,24,7.78,16.01,2.76,16.27,62.17
464,新北市,2015/01/09,新莊,3.0,0.43,32.3,42.0,20,18,2.94,14.7,4.92,15.48,57.66
465,新北市,2015/01/09,新店,2.0,0.39,34.4,37.0,23,15,2.74,12.4,2.06,16.07,57.17
466,新北市,2015/01/09,淡水,1.8,0.28,38.0,41.0,14,7,1.1,5.66,-,-,-
467,新北市,2015/01/09,汐止,3.1,0.42,23.3,44.0,21,28,5.31,23.06,1.73,15.58,65.41
468,新北市,2015/01/09,土城,2.0,0.43,33.2,42.0,23,15,1.83,13.26,1.66,16.0,57.31
469,新北市,2015/01/09,林口,2.6,0.29,38.0,44.0,22,10,1.57,8.39,3.33,13.9,67.17
470,新北市,2015/01/09,萬里,1.8,0.22,46.7,62.0,19,5,1.09,3.68,6.79,16.07,64.81
471,新北市,2015/01/08,板橋,3.2,0.56,24.6,74.0,37,23,4.48,18.49,2.72,13.64,55.84
472,新北市,2015/01/08,三重,4.0,1.61,-,95.0,34,118,80.79,37.29,-,14.16,55.79
473,新北市,2015/01/08,菜寮,3.3,0.53,23.3,69.0,36,21,2.34,18.5,2.86,13.73,56.18
474,新北市,2015/01/08,永和,3.7,0.65,26.8,66.0,35,25,8.22,17.19,2.41,13.9,63.32
475,新北市,2015/01/08,新莊,3.7,0.48,27.1,70.0,38,19,2.86,16.3,4.87,13.03,58.73
476,新北市,2015/01/08,新店,3.4,0.46,31.2,65.0,38,15,2.76,12.73,2.03,13.67,59.33
477,新北市,2015/01/08,淡水,3.1,0.44,28.8,71.0,31,13,2.2,10.92,-,-,-
478,新北市,2015/01/08,汐止,4.0,0.47,24.9,66.0,35,23,3.21,19.59,1.61,13.41,66.12
479,新北市,2015/01/08,土城,3.1,0.49,30.5,69.0,39,15,1.61,13.35,1.61,13.7,57.77
480,新北市,2015/01/08,林口,3.8,0.37,33.2,69.0,38,12,1.64,9.89,3.44,11.49,67.94
481,新北市,2015/01/08,萬里,3.0,0.31,40.1,99.0,34,7,1.26,5.72,7.18,13.83,65.37
482,新北市,2015/01/07,板橋,2.1,0.61,25.0,33.0,-,24,4.2,19.63,2.37,15.8,75.56
483,新北市,2015/01/07,三重,1.5,1.81,-,36.0,8,96,61.35,34.59,-,16.35,69.28
484,新北市,2015/01/07,菜寮,2.0,0.57,25.7,23.0,14,20,2.75,16.85,2.06,15.97,71.23
485,新北市,2015/01/07,永和,2.0,0.71,28.7,25.0,12,26,8.37,18.08,2.57,15.87,81.97
486,新北市,2015/01/07,新莊,2.2,0.54,27.2,29.0,14,22,3.88,17.83,3.37,15.13,76.9
487,新北市,2015/01/07,新店,2.2,0.52,31.5,23.0,16,17,2.43,14.36,1.66,15.31,80.97
488,新北市,2015/01/07,淡水,0.9,0.39,36.6,30.0,11,6,1.24,5.2,-,-,-
489,新北市,2015/01/07,汐止,1.6,0.43,32.7,23.0,15,15,1.72,13.31,1.97,14.57,90.66
490,新北市,2015/01/07,土城,1.8,0.59,30.5,28.0,16,17,1.68,15.35,1.32,15.92,77.71
491,新北市,2015/01/07,林口,1.3,0.38,36.4,28.0,18,10,1.48,8.62,2.72,13.0,88.2
