序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
146,臺北市,2014/01/11,陽明,2.8,0.17,410.13,42.6,8,7,3.07,1.18,1.88,-,12.98,93.66
147,臺北市,2014/01/11,士林,1.5,0.31,-,34.1,26,14,16.25,3.73,12.52,2.54,19.82,63.89
148,臺北市,2014/01/10,松山,2.4,0.41,425.14,23.5,34,21,27.71,5.33,22.38,2.37,14.21,77.13
149,臺北市,2014/01/10,古亭,1.8,0.36,-,27.4,36,20,19.64,4.23,15.4,3.44,14.7,77.91
150,臺北市,2014/01/10,中山,1.8,0.58,-,17.7,64,27,35.07,10.72,24.36,2.62,15.31,78.05
151,臺北市,2014/01/10,大同,3.4,1.27,-,-,68,30,83.14,49.8,33.35,-,-,-
152,臺北市,2014/01/10,萬華,2.8,0.44,-,21.2,33,25,32.95,7.52,25.42,3.71,15.08,75.5
153,臺北市,2014/01/10,陽明,1.6,0.19,413.95,44.2,6,4,3.02,1.11,1.91,-,8.29,99.0
154,臺北市,2014/01/10,士林,1.6,0.26,-,38.7,33,20,10.82,2.43,8.39,3.09,15.4,69.79
155,臺北市,2014/01/09,松山,1.8,0.45,429.22,26.3,26,24,22.67,3.11,19.56,1.76,12.8,78.32
156,臺北市,2014/01/09,古亭,2.0,0.56,-,20.5,37,23,31.64,8.75,22.89,2.0,13.01,84.07
157,臺北市,2014/01/09,中山,1.8,0.63,-,19.0,50,28,34.5,10.27,24.24,1.63,13.95,78.3
158,臺北市,2014/01/09,大同,3.1,1.47,-,-,57,28,89.01,55.0,34.01,-,-,-
159,臺北市,2014/01/09,萬華,2.5,0.57,-,19.9,28,23,33.61,7.23,26.38,1.9,13.63,76.93
160,臺北市,2014/01/09,陽明,1.4,0.28,418.38,42.6,8,6,4.01,0.95,3.05,-,6.71,99.0
161,臺北市,2014/01/09,士林,2.9,0.38,-,32.9,29,20,16.09,2.44,13.65,2.0,13.72,70.72
162,臺北市,2014/01/08,松山,3.0,0.82,449.9,18.1,53,38,49.52,17.53,31.99,1.97,17.1,73.07
163,臺北市,2014/01/08,古亭,3.4,0.73,-,16.3,62,36,39.09,8.91,30.18,2.0,17.16,76.75
164,臺北市,2014/01/08,中山,5.2,1.05,-,12.8,80,48,60.87,22.95,37.92,1.48,18.08,74.58
165,臺北市,2014/01/08,大同,7.0,1.96,-,-,89,57,110.56,64.97,45.59,-,-,-
166,臺北市,2014/01/08,萬華,8.4,1.09,-,12.3,66,46,64.63,23.77,40.86,1.48,17.62,74.91
167,臺北市,2014/01/08,陽明,2.8,0.33,421.47,54.6,28,20,6.67,0.91,5.75,-,12.24,86.7
168,臺北市,2014/01/08,士林,4.6,0.69,-,24.4,56,41,39.69,15.4,24.28,1.83,17.29,73.64
169,臺北市,2014/01/07,松山,-,1.19,467.84,19.1,61,39,84.91,40.74,44.17,1.12,19.24,63.06
170,臺北市,2014/01/07,古亭,3.7,0.95,-,21.3,71,36,58.12,21.17,36.94,1.41,19.92,62.28
171,臺北市,2014/01/07,中山,3.8,1.39,-,16.4,90,45,91.5,48.41,43.09,1.27,20.54,62.69
172,臺北市,2014/01/07,大同,6.0,2.34,-,-,88,48,130.46,79.42,51.03,-,-,-
173,臺北市,2014/01/07,萬華,6.2,1.25,-,20.1,63,38,74.78,28.45,46.35,1.33,20.32,60.58
174,臺北市,2014/01/07,陽明,2.2,0.23,413.65,49.4,23,19,6.53,1.08,5.45,-,14.2,84.56
